ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	ANCESTOR
colubru	coleuvre	colubro	culebra	cobra	colubrum
columnă	colonne	colonna	columna	coluna	columnam
comă	coma	coma	coma	coma	comam
combina	combiner	combinare	combinar	combinar	combinare
combinație	combinaison	combinazione	combinación	combinação	combinationem
combinațiune	combinaison	combinazione	combinación	combinação	combinationem
combustie	combustion	combustione	combustión	combustão	combustionem
comedie	comédie	commedia	comedia	comédia	comoediam
comemora	commémorer	commemorare	conmemorar	comemorar	commemorare
comerț	commerce	commercio	comercio	comércio	commercium
comestibil	comestible	commestibile	comestible	comestível	comestibilem
cometă	comète	cometa	cometa	cometa	cometam
comic	comique	comico	cómico	cômico	comicum
comite	comité	comite	cometer	cometer	comitem
comitet	comité	comitato	condado	condado	comitatum
compact	compact	compatto	compacto	compacto	compactum
comparație	comparaison	comparazione	comparación	comparação	comparationem
compasiune	compassion	compassione	compasión	compaixão	compassionem
compendiu	compendium	compendio	compendio	compêndio	compendium
compensa	compenser	compensare	compensar	compensar	compensare
compensație	compensation	compensazione	compensación	compensação	compensationem
compensațiune	compensation	compensazione	compensación	compensação	compensationem
competent	compétent	competente	competente	competente	competentem
compila	compiler	compilare	compilar	compilar	compilare
complex	complexe	complesso	complejo	complexo	complexum
complica	compliquer	complicare	complicar	complicar	complicare
compozit	composite	composito	compósito	compósito	compositum
compoziție	composition	composizione	composición	composição	compositionem
compozitor	compositeur	compositore	compositor	compositor	compositorem
compres	compresse	compresso	compreso	compreso	compressum
compresibil	compressible	compressibile	compresible	compressível	compressibilem
compresiune	compression	compressione	compresión	compressão	compressionem
comprima	comprimer	comprimere	comprimir	comprimir	comprimere
compulsa	compulser	compulsare	compulsare	compulsare	compulsare
compulsie	compulsion	compulsione	compulsión	compulsão	compulsionem
compune	composer	comporre	componer	compor	componere
comunica	communiquer	comunicare	comunicar	comunicar	communicare
comunicație	communication	comunicazione	comunicación	comunicação	communicationem
comunicațiune	communication	comunicazione	comunicación	comunicação	communicationem
comunicativ	communicatif	comunicativo	comunicativo	comunicativo	communicativum
comunitate	communauté	comunità	comunidad	comunidade	communitatem
comuniune	communion	comunione	comunión	comunhão	communionem
comutație	commutation	commutazione	conmutación	comutação	commutationem
cu	avec	con	com	con	cum
concede	concéder	concedere	conceder	conceder	concedere
concepe	concevoir	concepire	concebir	conceber	concipere
concept	concept	concetto	concepto	conceito	conceptum
concepție	conception	concezione	concepción	concepção	conceptionem
concepțiune	conception	concezione	concepción	concepção	conceptionem
concesie	concession	concessione	concesión	concessão	concessionem
conchide	conclure	concludere	concluir	concluir	concludere
conciliațiune	conciliation	conciliazione	conciliación	conciliação	conciliationem
conciliator	conciliateur	conciliatore	conciliador	conciliador	conciliatorem
conclav	conclave	conclave	cónclave	conclave	conclave
concluzie	conclusion	conclusione	conclusión	conclusão	conclusionem
concomitant	concomitant	concomitante	concomitante	concomitante	concomitantem
concorda	concorder	concordare	concordar	concordar	concordare
concrețiune	concretion	concrezione	concreción	concreção	concretionem
concubină	concubin	concubina	concubina	concubina	concubinam
concupiscent	concupiscent	concupiscente	concupiscente	concupiscente	concupiscentem
concupiscență	concupiscence	concupiscenza	concupiscencia	concupiscência	concupiscentiam
condamna	condamner	condannare	condenar	condenar	condemnare
condițiune	condition	condizione	condición	condição	conditionem
conductor	conducteur	conduttore	conductor	condutor	conductorem
confecție	confection	confezione	confección	confecção	confectionem
confecțiune	confection	confezione	confección	confecção	confectionem
confesiune	confession	confessione	confesión	confissão	confessionem
confesor	confesseur	confessore	confesor	confessor	confessorem
configura	configurer	configurare	configurar	configurar	configurare
configurație	configuration	configurazione	configuración	configuração	configurationem
confirma	confirmer	confermare	confirmar	confirmar	confirmare
confisca	confisquer	confiscare	confiscar	confiscar	confiscare
conflagrație	conflagration	conflagrazione	conflagración	conflagração	conflagrationem
conflagra	conflagrer	conflagrare	conflagrar	conflagrar	conflagrare
confluent	confluent	confluente	confluente	confluente	confluentem
confluență	confluence	confluenza	confluencia	confluência	confluentiam
confunda	confondre	confondere	confundir	confundir	confundere
confuzie	confusion	confusione	confusión	confusão	confusionem
congela	congeler	congelare	congelar	congelar	congelare
congener	congénère	congenere	congénere	congênere	congeneris
congestie	congestion	congestione	congestión	congestion	congestionem
conglutina	conglutiner	conglutinare	conglutinar	conglutinar	conglutinare
congratula	congratuler	congratular	congratular	congratular	congratulari
congregație	congrégation	congregazione	congregación	congregação	congregationem
congregațiune	congrégation	congregazione	congregación	congregação	congregationem
congres	congrès	congresso	congreso	congresso	congressum
congruent	congruent	congruente	congruente	congruente	congruentem
congruență	congruence	congruenza	congruencia	congruência	congruentiam
conjectură	conjecture	congettura	conjetura	conjetura	coniecturam
conjugal	conjugal	coniugale	conyugal	conjugal	coniugalem
conjuncție	conjonction	congiunzione	conjunción	conjunção	coniunctionem
conjunctiv	conjonctif	congiuntivo	conjuntivo	conjuntivo	coniunctivum
conjunctură	conjoncture	congiuntura	coyuntura	conjuntura	conincturam
consacra	consacrer	consacrare	consagrar	consagrar	consecrare
consecință	conséquence	conseguenza	consecuencia	conseqüência	consequentiam
consens	consense	consenso	consenso	consenso	consensum
conservator	conservateur	conservatore	conservador	conservador	conservatorem
considera	considérer	considerare	considerar	considerar	considerare
considerație	considération	considerazione	consideración	consideração	considerationem
consilier	conseiller	consigliere	consejero	conselheiro	consiliarium
consistoriu	consistoire	consistorio	consistorio	consistório	consistorium
consolă	consoleir	consolare	consolar	consolar	consolare
consonant	consonant	consonante	consonante	consoante	consonantem
consonanță	consonance	consonanza	consonancia	consonância	consonantia
consort	consort	consorte	consorte	consorte	consortem
consorțiu	consortium	consorzio	consorcio	consórcio	consortium
conspira	conspirer	cospirare	conspirar	conspirar	conspirare
conspirație	comspiration	cospirazione	conspiración	conspiração	conspirationem
conspirațiune	conspiration	cospirazione	conspiración	conspiração	conspirationem
constant	constant	costante	constante	constante	constantem
constanță	constance	costanza	constancia	constância	constantiam
constelație	constellation	costellazione	constelación	constelação	constellationem
consternație	consternation	costernazione	consternación	consternação	consternationem
constituție	constitution	costituzione	constitución	constituição	constitutionem
construcție	construction	costruzione	construcción	construção	constructionem
construcțiune	construction	costruzione	construcción	construção	constructionem
construi	construire	costruire	construir	construir	construere
consubstanțial	consubstantiel	consustanziale	consustancial	consubstancial	consubstantialem
consubstanțialitate	consubstantialité	consustanzialità	consustancialidad	consubstancialidade	consubstantialitatem
consul	consul	consule	cónsul	cônsul	consulem
consulat	consulat	consolato	consulado	consulado	consulatum
consult	consulte	consultare	consultar	consultar	consultare
consuma	consommer	consumare	consumir	consumir	consumere
contagiune	contagion	contagio	contagio	contágio	contagionem
contamina	contaminer	contaminare	contaminar	contaminar	contaminare
contemplație	contemplation	contemplazione	contemplación	contemplação	contemplationem
contemplativ	contemplatif	contemplativo	contemplativo	contemplativo	contemplativum
contemporan	contemporain	contemporaneo	contemporáneo	contemporâneo	contemporaneum
contiguu	contigu	contiguo	contiguo	contíguo	contiguum
conține	contenir	contenere	contener	conter	continere
continent	continent	continente	continente	continente	continentem
continență	continence	continenza	continencia	continência	continentiam
contingență	contingence	contingenza	contingencia	contingência	contingentiam
continua	continuer	continuare	continuar	continuar	continuare
continuitate	continuité	continuità	continuidad	continuidade	continuitatem
contract	contrat	contratto	contrato	contrato	contractum
contracție	contraction	contrazione	contracción	contração	contractionem
contradicție	contradiction	contraddizione	contradicción	contradição	contradictionem
contradicțiune	contradiction	contraddizione	contradicción	contradição	contradictionem
contradictoriu	contradictoire	contraddittorio	contradictorio	contraditório	contradictorium
contrar	contraire	contrario	contrario	contrário	contrarium
contrazice	contredire	contraddire	contradecir	contradizer	contradicere
contribui	contribuer	contribuire	contribuir	contribuir	contribuere
contubernal	contubernale	contubernale	contubernal	contubernal	contubernalem
contumacie	contumace	contumacia	contumacia	contumácia	contumaciam
contuzie	contusion	contusione	contusión	contusão	contusionem
contuziune	contusion	contusione	contusión	contusão	contusionem
convalescent	convalescent	convalescente	convaleciente	convalescente	convalescentem
convalescență	convalescence	convalescenza	convalecencia	convalescença	convalescentiam
convecție	convection	convezione	convección	convecção	convectionem
convenient	convenant	conveniente	conveniente	conveniente	convenientem
convent	convent	convento	convento	convento	conventum
convenție	convention	convenzione	convención	convenção	conventionem
convențional	conventionnel	convenzionale	convencional	convencional	conventionalem
convențiune	convention	convenzione	convención	convenção	conventionem
converge	converger	convergere	converger	convergir	convergere
convergent	convergent	convergente	convergente	convergente	convergentem
conversiune	conversion	conversione	conversión	conversão	conversionem
converti	convertir	convertire	convertir	converter	convertere
convexitate	convexité	convessità	convexidad	convexidade	convexitatem
convinge	convaincre	convincere	convencer	convencer	convincere
convoi	convoi	convoglio	convoy	comboio	cumviam
coopera	coopérer	cooperare	cooperar	cooperar	cooperari
coperi	couvrir	coprire	cubrir	cubrir	cooperire
corabie	caravelle	caravella	carabela	caravela	carabum
corb	corbeau	corvo	cuervo	corvo	corvum
corecție	correction	correzione	corrección	correção	correctionem
corecțiune	correction	correzione	corrección	correção	correctionem
cure	courir	correre	correr	correr	currere
corija	corriger	correggere	corregir	corrigir	corrigere
cornut	cornu	cornuto	cornudo	cornudo	cornutum
coroană	couronne	corona	corona	coroa	coronam
cununa	couronner	coronare	coronar	coroar	coronare
corobora	corroborer	corroborare	corroborar	corroborar	corroborare
coroda	corroder	corrodere	corroer	corroer	corrodere
corolă	corolle	corolla	corola	corola	corollam
corolar	corollaire	corollario	corolario	corolário	corollarium
coronal	coronal	coronale	coronal	coronal	coronalem
corp	corps	corpo	cuerpo	corpo	corpus
corpolent	corpulent	corpulento	corpulento	corpulento	corpulentum
corpolență	corpulence	corpulenza	corpulencia	corpulência	corpulentiam
cortină	courtine	cortina	cortina	cortina	cortinam
corupe	corrompre	corrompere	corromper	corromper	corrumpere
corupt	corrompu	corrotto	corrupto	corrupto	corruptum
coruptibil	corruptible	corruttibile	corruptible	corruptível	corruptibilem
corupție	corruption	corruzione	corrupción	corrupção	corruptionem
corupțiune	corruption	corruzione	corrupción	corrupção	corruptionem
corvetă	corvette	corvetta	corbeta	corveta	corbita
cosmic	cosmique	cosmico	cósmico	cósmico	cosmicum
craniu	crâne	cranio	cráneo	crânio	cranium
crap	carpe	carpa	carpa	carpa	carpam
crăpa	crever	crepare	quebrar	quebrar	crepare
crasă	crase	crasi	crasis	crase	crasis
crater	cratère	cratere	cráter	cratera	craterem
crea	créer	creare	crear	criar	creare
creastă	crête	cresta	cresta	crista	cristam
creație	création	creazione	creación	criação	creationem
creațiune	création	creazione	creación	criação	creationem
creator	créateur	creatore	creador	criador	creatorem
crede	croire	credere	creer	crer	credere
credit	crédit	credito	crédito	crédito	creditum
creier	cerveau	cervello	cerebro	cérebro	cerebellum
cremă	crème	crema	crema	creme	chrisma
crepuscul	crépuscule	crepuscolo	crepúsculo	crepúsculo	crepusculum
crește	croître	crescere	crecer	crecer	crescere
creștin	chrétien	cristiano	cristiano	christáo	christianum
criptă	crypte	cripta	cripta	cripta	cryptam
cristal	cristal	cristallo	cristal	cristal	crystallum
cristalin	cristallin	cristallino	cristalino	cristalino	crystallinum
criză	crise	crisi	crisis	crise	crisis
crocodil	crocodile	coccodrillo	cocodrilo	crocodilo	crocodilum
cruce	croix	croce	cruz	cruz	crucem
crucifica	croiseur	crucificare	crucificar	crucificar	crucificare
crud	cru	crudo	crudo	cru	crudum
crural	crural	crurale	crural	crural	cruralem
cuaternar	quaternaire	quaternario	cuaternario	quaternário	quaternarium
cub	cube	cubo	cubo	cubo	cubum
cubital	cubital	cubitale	cubital	cubital	cubitalem
cuc	coucou	cucco	cuco	cuco	cucum
cugeta	cuidier	coitare	cuidar	cuidar	cogitare
cui	coin	conio	cuño	cunho	cuneum
culege	cueillir	cogliere	coger	colher	colligere
culme	culmen	colmo	cumbre	cume	culmen
culmina	culminer	culminare	culminar	culminar	culminare
cultură	culture	cultura	cultura	cultura	culturam
cum	comme	come	como	como	quomodo
comunica	communier	comunicare	comulgar	comungar	communicare
cumpăra	comperer	comprare	comprar	comprar	comparare
cunoaște	connaître	conoscere	conocer	conhecer	cognoscere
cupă	coupe	coppa	copa	copa	cupam
cuprinde	comprendre	comprendere	comprender	comprender	comprendere
cultiva	cultiver	coltivare	cultivar	cultivar	colare
curabil	curable	curabile	curable	curável	curabilem
cur	cul	culo	culo	cu	culum
curaj	courage	coraggio	coraje	coragem	coraticum
curent	courant	corrente	corriente	corrente	currentem
curial	curial	curiale	curial	curial	curialem
curios	curieux	curioso	curioso	curioso	curiosum
curiozitate	curiosité	curiosità	curiosidad	curiosidade	curiositatem
cursor	curseur	cursore	cursor	cursor	cursorem
cuspidă	cuspide	cuspide	cúspide	cúspide	cuspidem
cuticulă	cuticule	cuticola	cutícula	cutícula	cuticulam
cvadrant	quadrant	quadrante	cuadrante	quadrante	quadrantem
cvadratură	quadrature	quadratura	cuadratura	quadratura	quadraturam
cvasi	quasi	quasi	casi	quase	quasi
cvorum	quorum	quorum	quórum	quorum	quorum
dalmatic	dalmatique	dalmatico	dalmático	dalmático	dalmaticum
dalmatică	dalmatique	dalmatica	dalmática	dalmática	dalmaticam
dativ	datif	dativo	dativo	dativo	dativum
daună	dommages	danno	daño	dano	damnum
de	de	di	de	de	de
debil	débile	debole	débil	débil	debilem
debitor	débiteur	debitore	deudor	devedor	debitorem
decadă	décade	decade	década	década	decadere
decalog	décalogue	decalogo	decálogo	decálogo	decalogum
decan	doyen	decano	decano	deão	decanum
decapita	décapiter	decapitare	decapitar	decapitar	decapitare
decembrie	décembre	decembre	diciembre	dezembro	decembrem
decenal	décennal	decennale	decenal	decenal	decennalem
decență	décence	decenza	decencia	decência	decentem
decide	décider	decidere	decidir	decidir	decidere
decizie	décision	decisione	decisión	decisão	decisionem
declamație	déclamation	declamazione	declamación	declamação	declamationem
declara	déclarer	dichiarare	declarar	declarar	declarare
declarațiune	déclaration	dichiarazione	declaración	declaração	declarationem
declinație	déclinaison	declinazione	declinación	declinação	declinationem
decrepit	décrépit	decrepito	decrépito	decrépito	decrepitum
dedica	dédier	dedicare	dedicar	dedicar	dedicare
dedicație	dédication	dedicazione	dedicación	dedicação	dedicationem
deduce	déductif	dedurre	deducir	deduzir	deducere
deductiv	déductif	deduttivo	deductivo	dedutivo	deductivum
defeca	déféquer	defecare	defecar	defecar	defaecare
defecație	défécation	defecazione	defecación	defecação	defaecationem
defecațiune	défécation	defecazione	defecación	defecação	defaecationem
defect	défaut	difetto	defecto	defeito	defectum
deficient	déficient	deficiente	deficiente	deficiente	deficientem
deficiență	déficience	deficienza	deficiencia	deficiência	deficientiam
defini	définir	definire	definir	definir	definire
definiție	définition	definizione	definición	definição	definitionem
deflagrație	déflagration	deflagrazione	deflagración	deflagração	deflagrationem
deforma	déformer	deformare	deformar	deformar	deformare
deget	doigt	dito	dedo	dedo	digitum
degrada	dégrader	degradare	degradar	degradar	degradare
deism	déisme	deismo	deísmo	deismo	deismum
delega	déléguer	delegare	delegar	delegar	delegare
delegație	délégation	delegazione	delegación	delegação	delegationem
delfin	dauphin	delfino	delfín	golfinho	delphinum
deliberativ	délibératif	deliberativo	deliberativo	deliberativo	deliberativum
delicat	délicat	delicato	delicado	delicado	delicatum
delicios	délicieux	delizioso	delicioso	delicioso	deliciosum
delicvescent	déliquescent	deliquescente	delicuescente	deliquescente	deliquescentem
delincvent	délinquant	delinquente	delincuente	delinquente	delinquentem
delineare	délinéer	delineare	delineare	delineare	delineare
delir	délire	delirio	delirio	delírio	delirium
delirare	délirer	delirare	delirare	delirare	delirare
dement	dément	demente	demente	demente	dementem
demență	démence	demenza	demencia	demência	dementiam
demisiune	démission	dimissione	dimisión	demissão	demissionem
demn	digne	degno	digno	digno	dignum
demnitate	dignité	dignità	dignidad	dignidade	dignitatem
demola	démolir	demolire	demoler	demolir	demoliri
demonstrabil	démontrable	dimostrabile	demostrable	demonstrável	demonstrabilem
demonstrativ	démonstratif	dimostrativo	demostrativo	demonstrativo	demonstrativum
denigra	dénigrer	denigrare	denigrar	denegrir	denigrare
denota	dénoter	denotare	denotar	denotar	denotare
denotație	dénotation	denotazione	denotación	denotação	denotationem
dens	dense	denso	denso	denso	densum
densitate	densité	densità	densidad	densidade	densitatem
dentiție	dentition	dentizione	dentición	dentição	dentitionem
denunța	dénoncer	denunciare	denunciar	denunciar	denuntiare
departe	départ	dipartimento	departamento	departamento	departimentem
depila	dépiler	depilare	depilarse	depilar	depilare
deponent	déponent	deponente	deponente	depoente	deponentem
depozit	dépot	deposito	depósito	depósito	depositum
depozitar	dépositaire	depositario	depositario	depositário	depositarium
deprava	dépraver	depravare	depravar	depravar	depravare
depresiune	dépression	depressione	depresión	depressão	depressionem
deprima	déprimer	deprimere	deprimir	deprimir	deprimere
depune	déposer	deporre	deponer	depôr	deponere
deroga	déroger	derogare	derogar	derrogar	derogare
descălța	déchausser	discalzare	descalzar	descalçar	discalciare
descinde	descendre	discendere	descender	descer	descendere
descoperi	découvrir	scoprire	descubrir	descobrir	discoperire
descriptiv	descriptif	descrittivo	descriptivo	descritivo	descriptivum
desface	défaire	disfare	deshacer	desfazer	disfacere
deslega	délier	dislegare	desligar	desligar	disligare
despuia	dépouiller	despogliare	despojar	despojar	despoliare
destructiv	destructive	distruttivo	destructivo	destrutivo	destructivum
destructor	destructeur	distruttore	destructor	destruidor	destructorem
determina	déterminer	determinare	determinar	determinar	determinare
determinațiune	détermination	determinazione	determinación	determinação	determinationem
detractoare	détracteur	detrattore	detractor	detrator	detractorem
detriment	détriment	detrimento	detrimento	detrimento	detrimentum
detritus	détritus	detrito	detrito	detrito	detritum
devasta	dévaster	devastare	devastar	devastar	devastare
devora	dévorer	divorare	devorar	devorar	devorare
devoțiune	dévotion	devozione	devoción	devoção	devotionem
dezertoare	déserteur	disertore	desertor	desertor	desertorem
diacon	diacre	diacono	diácono	diácono	diaconum
diademă	diadème	diadema	diadema	diadema	diadema
diafragmă	diaphragme	diaframma	diafragma	diafragma	diaphragma
diagonal	diagonal	diagonale	diagonal	diagonal	diagonalem
dialectică	dialectique	dialettica	dialéctica	dialética	dialecticam
dialog	dialogue	dialogo	diálogo	diálogo	dialogum
diametru	diamètre	diametro	diámetro	diâmetro	diametrum
diaree	diarhée	diarrea	diarrea	diarréia	diarrhoeam
diastolă	diastole	diastole	diástole	diástole	diastole
diatribă	diatribe	diatriba	diatriba	diatribe	diatribam
dicta	dicter	dettare	dictar	ditar	dictare
dictatoare	dictateur	dittatore	dictador	ditador	dictatorem
dictatură	dictature	dittatura	dictadura	ditadura	dictaturam
dicționar	dictionnaire	dizionario	diccionario	dicionário	dictionarium
diferență	différence	differenza	diferencia	diferença	differentiam
dificil	difficile	difficile	difícil	difícil	difficilem
dificultate	difficulté	difficoltà	dificultad	dificuldade	difficultatem
difuziune	diffusion	diffusione	difusión	difusão	diffusionem
digestie	digestion	digestione	digestión	digestão	digestionem
digresiune	digresion	digressione	digresión	digressão	digressionem
dijmă	dîme	decima	diezmo	décima	decimam
dilatoriu	dilatoire	dilatorio	dilatorio	dilatório	dilatorium
dilemă	dilemme	dilemma	dilema	dilema	dilemma
diletant	dilettante	dilettante	diletante	diletante	delectare
diligent	diligent	diligente	diligente	diligente	diligentem
dinte	dent	dente	diente	dente	dentem
diplomă	diplôme	diplóma	diploma	diploma	diploma
direcție	direction	direzione	dirección	direção	directionem
direcțiune	direction	direzione	dirección	direção	directionem
director	directeur	direttore	director	diretor	directorem
discerne	discerner	discernere	discernir	discernir	discernere
disciplină	discipline	disciplina	disciplina	disciplina	disciplinam
discipol	disciple	discepolo	discípulo	discípulo	discipulum
discordare	discorder	discordare	discordare	discordare	discordare
discordia	discordance	discordia	discordia	discórdia	discordiam
discret	discret	discreto	discreto	discreto	discretum
discrimina	discriminer	discriminare	discriminar	discriminar	discriminare
discuta	discuter	discutere	discutir	discutir	discutere
discuție	discussion	discussione	discusión	discussão	discussionem
disensiune	dissension	dissenso	disensión	dissensão	dissensionem
disident	dissident	dissidente	disidente	dissidente	dissidentem
disimula	dissimuler	dissimulare	disimular	dissimular	dissimulare
disociație	dissociation	dissociazione	disociación	dissociação	dissociationem
disoluție	dissolution	dissoluzione	disolución	dissolução	dissolutionem
disonanță	dissonance	dissonanza	disonancia	dissonância	dissonantiam
dispersie	dispersion	dispersione	dispersión	dispersão	dispersionem
dispozitiv	dispositif	dispositivo	dispositivo	dispositivo	dispositum
disputare	disputer	disputare	disputare	disputare	disputare
distanță	distance	distanza	distancia	distância	distantiam
distincție	distinction	distinzione	distinción	distinção	distinctionem
distinge	distinguer	distinguere	distinguir	distinguir	distinguere
distribui	distribuer	distribuire	distribuir	distribuir	distribuere
distribuție	distribution	distribuzione	distribución	distribuição	distributionem
distributiv	distributif	distributivo	distributivo	distributivo	distributivum
ditiramb	dithyrambe	ditirambo	ditirambo	ditirambo	dithyrambum
diuretic	diurétique	diuretico	diurético	diurético	diureticum
diurn	diurne	diurno	diurno	diurno	diurnum
divagare	divaguer	divagare	divagar	divagar	divagari
diverge	diverger	divergere	divergir	divergir	divergere
divers	divers	diverso	diverso	diverso	diversum
diversitate	diversité	diversità	diversidad	diversidade	diversitatem
diverticul	diverticule	diverticolo	divertículo	divertículo	diverticulum
divide	diviser	dividere	dividir	dividir	dividere
dividend	dividende	dividendo	dividendo	dividendo	dividendum
divin	divin	divino	divino	divino	divinum
divinitate	divinité	divinità	divinidad	divindade	divinitatem
divizibil	divisible	divisibile	divisible	divisível	divisibilem
diviziune	division	divisione	división	divisão	divisionem
divizor	diviseur	divisore	divisor	divisor	divisorem
divorț	divorce	divorzio	divorcio	divórcio	divortium
divulgator	divulgateur	divulgatore	divulgador	divulgador	divulgatorem
dizenterie	dysenterie	dissenteria	disentería	disenteria	dysenteriam
dizolva	dissoudre	dissolvere	disolver	dissolver	dissolvere
doamnă	dame	donna	duena	dona	dominam
docil	docile	docile	dócil	dócil	docilem
docilitate	docilité	docilità	docilidad	docilidade	docilitatem
doctrină	doctrine	dottrina	doctrina	doutrina	doctrinam
doctrinal	doctrinal	dottrinale	doctrinal	doutrinal	doctrinalem
document	document	documento	documento	documento	documentum
duce	duc	duce	dux	duque	ducem
dogmă	dogme	dogma	dogma	dogma	dogma
dogmatic	dogmatique	dogmatico	dogmático	dogmático	dogmaticum
doi	deux	due	dos	dois	duos
domina	dominer	dominare	dominar	dominar	dominari
dominație	domination	dominazione	dominación	dominação	dominationem
domn	dom	donno	don	dom	domine
dona	donner	donare	donar	doar	donare
donație	donation	donazione	donación	doação	donationem
doric	dorique	dorico	dórico	dórico	doricum
dormi	dormir	dormire	dormir	dormir	dormire
dos	dos	dorso	dorso	dorso	dorsum
dotă	dot	dote	dote	dote	dotem
dotal	dotal	dotale	dotal	dotal	dotalem
drac	dragon	draco	dragon	dragăo	draconem
dramă	drame	dramma	drama	drama	drama
dramatic	dramatique	dramatico	dramático	dramático	dramaticum
dreaptă	droit	diritto	derecho	dereito	directum
dromader	dromadaire	dromedario	dromedario	dromedário	dromedarium
drupă	drupe	drupa	drupa	drupa	drupam
dual	dual	duale	dual	dual	dualem
dualitate	dualité	dualità	dualidad	dualidade	dualitatem
dupleca	dupliquer	duplicare	doblegar	duplicar	duplicare
ducal	ducal	ducale	ducal	ducal	ducalem
ductil	ductile	duttile	dúctil	dúctil	ductilem
duel	duel	duello	duelo	duelo	duellum
dulce	doux	dolce	dolce	doce	dulcem
duminică	dimanche	domenica	domingo	domingo	dominicam
duoden	duodéno	duodeno	duodeno	duodeno	duodenum
luni	lundi	lunedì	lunes	lũes	lunaedies
marți	mardi	martedì	martes	martes	martisdies
miercuri	mercredi	mercoledì	miércoles	mercores	mercuriidies
joi	jeudi	giovedì	jueves	joves	iovisdies
venderdi	vendredi	venerdì	viernes	vernes	venerisdies
sâmbătă	samedi	sabato	sábado	sábado	sabbati
duplicație	duplication	duplicazione	duplicación	duplicação	duplicationem
durabil	durable	durabile	durable	durável	durabilem
durere	doloir	dolere	doler	doer	dolere
duritate	durete	durezza	dureza	dureza	duritiam
duroare	douleur	dolore	dolor	dór	dolorem
duumvirat	duumvirat	duumvirato	duunvirato	duunvirato	duumviratum
ea	le	il	él	o	illum
ebuliție	ébulition	ebollizione	ebullición	ebulição	ebullitionem
ebulițiune	ébullition	ebollizione	ebullición	ebulição	ebullitionem
echilater	équilatère	equilatero	equilátero	equilátero	aequilaterum
echin	équin	equino	equino	equino	equinum
echinocțial	équinoxial	equinoziale	equinoccial	equinocial	aequinoctialem
echinocțiu	équinoxe	equinozio	equinoccio	equinócio	aequinoctium
echitate	équité	equità	equidad	equidade	aequitatem
echitație	équitation	equitazione	equitación	equitação	equitationem
echivoca	équivoque	equivoco	equívoco	equívoco	aequivocum
ecleziastic	ecclésiastique	ecclesiastico	eclesiástico	eclesiástico	ecclesiasticum
economic	économique	economico	económico	econômico	oeconomicum
economie	économie	economia	economía	economia	oeconomiam
ecuație	équation	equazione	ecuación	equação	aequationem
ecuațiune	équation	equazione	ecuación	equação	aequationem
ecuator	équateur	equatore	ecuador	equador	aequare
ecumenic	oecuménique	ecumenico	ecuménico	ecumênico	oecumenicum
ecvestru	équestre	equestre	ecuestre	equestre	equestrem
edificiu	édifice	edificio	edificio	edifício	aedificium
ediție	édition	edizione	edición	edição	editionem
editor	éditeur	editore	editor	editor	editorem
educa	educer	educare	educar	educar	educare
educație	éducation	educazione	educación	educação	educationem
educațiune	éducation	educazione	educación	educação	educationem
educator	éducateur	educatore	educador	educador	educatorem
efect	effet	effetto	efecto	efeito	effectum
efector	effecteur	effettore	efector	efetoras	effectorem
efervescent	effervescent	effervescente	efervescente	efervescente	effervescentem
eficace	efficace	efficace	eficaz	eficaz	efficacem
eficient	efficient	efficiente	eficiente	eficiente	efficientem
efigie	effigie	effigie	efigie	efígie	effigiem
efluviu	effluve	effluvio	efluvio	eflúvio	effluvium
efuziune	effusion	effusione	efusión	efusão	effusionem
egal	egala	uguale	igual	igual	aequalem
egidă	égide	egida	égida	égide	aegidem
eglogă	églogue	egloga	égloga	écloga	eclogam
egoism	égoïsme	egoismo	egoísmo	egoísmo	egoismum
elabora	élaborer	elaborare	elaborar	elaborar	elaborare
elastic	élastique	elastico	elástico	elástico	elasticum
electiv	électif	elettivo	electivo	eletivo	electivum
elegant	élégant	elegante	elegante	elegante	elegantem
eleganță	élégance	eleganza	elegancia	elegância	elegantiam
elegiac	élégiaque	elegiaco	elegíaco	elegíaco	elegiacum
elegie	élégie	elegia	elegía	elegia	elegiam
element	élément	elemento	elemento	elemento	elementum
elevație	élévation	elevazione	elevación	elevação	elevationem
elice	hélice	elice	hélice	hélice	helicem
elipsă	ellipse	ellisse	elipse	elipse	ellipsis
elită	élite	elite	élite	elite	electum
eliziune	élision	elisione	elisión	elisão	elisionem
elocvență	éloquence	eloquenza	elocuencia	eloquência	eloquentiam
elocvent	éloquent	eloquente	elocuente	eloquente	eloquentem
elogiu	éloge	elogio	elogio	elogio	elogium
emana	émaner	emanare	emanar	emanar	emanare
emanație	émanation	emanazione	emanación	emanação	emanationem
emanațiune	émanation	emanazione	emanación	emanação	emanationem
emancipa	émanciper	emancipare	emancipar	emancipar	emancipare
emblemă	emblème	emblema	emblema	emblema	emblema
emersiune	émersion	emersione	emersión	emersão	emersionem
emetic	émétique	emetico	emético	emético	emeticum
emigra	émigrer	emigrare	emigrar	emigrar	emigrare
emigrație	émigration	emigrazione	emigración	emigração	emigrationem
eminent	éminent	eminente	eminente	eminente	eminentem
eminență	éminence	eminenza	eminencia	eminência	eminentiam
emisferă	hémisphère	emisfero	hemisferio	hemisfério	hemisphaerium
emistih	hémistiche	emistichio	hemistiquio	hemistíquio	hemistichium
emolient	émollient	emolliente	emoliente	emoliente	emollientem
emoție	émotion	emozione	emoción	emoção	emotionem
