ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	ANCESTOR
deficient	déficient	deficiente	deficiente	deficiente	dēficientem
deficiență	déficience	deficienza	deficiencia	deficiência	dēficientiam
defini	définir	definire	definir	definir	dēfīnīre
definiție	définition	definizione	definición	definição	dēfīnītiōnem
deflagrație	déflagration	deflagrazione	deflagración	deflagração	dēflāgrātiōnem
deforma	déformer	deformare	deformar	deformar	dēformāre
deget	doigt	dito	dedo	dedo	digitum
degrada	dégrader	degradare	degradar	degradar	dēgradāre
deism	déisme	deismo	deísmo	deismo	deīsmum
delega	déléguer	delegare	delegar	delegar	dēlēgāre
delegație	délégation	delegazione	delegación	delegação	dēlēgātiōnem
delfin	dauphin	delfino	delfín	golfinho	delphīnum
deliberativ	délibératif	deliberativo	deliberativo	deliberativo	dēlīberātīvum
delicat	délicat	delicato	delicado	delicado	dēlicātum
delicios	délicieux	delizioso	delicioso	delicioso	dēliciōsum
delicvescent	déliquescent	deliquescente	delicuescente	deliquescente	dēliquēscentem
delincvent	délinquant	delinquente	delincuente	delinquente	dēlinquentem
delineare	délinéer	delineare	delineare	delineare	dēlīneāre
delir	délire	delirio	delirio	delírio	dēlīrium
delirare	délirer	delirare	delirare	delirare	dēlīrāre
dement	dément	demente	demente	demente	dēmentem
demență	démence	demenza	demencia	demência	dēmentiam
demisiune	démission	dimissione	dimisión	demissão	dēmissiōnem
demn	digne	degno	digno	digno	dīgnum
demnitate	dignité	dignità	dignidad	dignidade	dignitātem
demola	démolir	demolire	demoler	demolir	dēmōlīrī
demonstrabil	démontrable	dimostrabile	demostrable	demonstrável	dēmonstrābilem
demonstrativ	démonstratif	dimostrativo	demostrativo	demonstrativo	dēmonstrātīvum
denigra	dénigrer	denigrare	denigrar	denegrir	dēnigrāre
denota	dénoter	denotare	denotar	denotar	dēnotare
denotație	dénotation	denotazione	denotación	denotação	dēnotātiōnem
dens	dense	denso	denso	denso	dēnsum
densitate	densité	densità	densidad	densidade	densitātem
dentiție	dentition	dentizione	dentición	dentição	dentītiōnem
denunța	dénoncer	denunciare	denunciar	denunciar	dēnuntiāre
departe	départ	dipartimento	departamento	departamento	departimentem
depila	dépiler	depilare	depilarse	depilar	dēpilāre
deponent	déponent	deponente	deponente	depoente	dēpōnentem
depozit	dépot	deposito	depósito	depósito	dēpositum
depozitar	dépositaire	depositario	depositario	depositário	dēpositārium
deprava	dépraver	depravare	depravar	depravar	dēprāvāre
depresiune	dépression	depressione	depresión	depressão	dēpressiōnem
deprima	déprimer	deprimere	deprimir	deprimir	dēprimēre
depune	déposer	deporre	deponer	depôr	dēpōnēre
deroga	déroger	derogare	derogar	derrogar	dērogāre
descălța	déchausser	discalzare	descalzar	descalçar	discalciāre
descinde	descendre	discendere	descender	descer	dēscendēre
descoperi	découvrir	scoprire	descubrir	descobrir	discoperīre
descriptiv	descriptif	descrittivo	descriptivo	descritivo	descriptīvum
desface	défaire	disfare	deshacer	desfazer	disfacere
deslega	délier	dislegare	desligar	desligar	disligāre
despuia	dépouiller	despogliare	despojar	despojar	dēspoliāre
destructiv	destructive	distruttivo	destructivo	destrutivo	dēstructīvum
destructor	destructeur	distruttore	destructor	destruidor	dēstructōrem
determina	déterminer	determinare	determinar	determinar	dēterminare
determinațiune	détermination	determinazione	determinación	determinação	dēterminātionem
detractoare	détracteur	detrattore	detractor	detrator	dētractōrem
detriment	détriment	detrimento	detrimento	detrimento	dētrīmentum
detritus	détritus	detrito	detrito	detrito	dētrītum
devasta	dévaster	devastare	devastar	devastar	dēvastāre
devora	dévorer	divorare	devorar	devorar	dēvorāre
devoțiune	dévotion	devozione	devoción	devoção	dēvōtiōnem
dezertoare	déserteur	disertore	desertor	desertor	dēsertōrem
diacon	diacre	diacono	diácono	diácono	diāconum
diademă	diadème	diadema	diadema	diadema	diadēma
diafragmă	diaphragme	diaframma	diafragma	diafragma	diaphragma
diagonal	diagonal	diagonale	diagonal	diagonal	diagōnālem
dialectică	dialectique	dialettica	dialéctica	dialética	dialecticam
dialog	dialogue	dialogo	diálogo	diálogo	dialogum
diametru	diamètre	diametro	diámetro	diâmetro	diamētrum
diaree	diarhée	diarrea	diarrea	diarréia	diarrhoeam
diastolă	diastole	diastole	diástole	diástole	diastolē
diatribă	diatribe	diatriba	diatriba	diatribe	diatribam
dicta	dicter	dettare	dictar	ditar	dictāre
dictatoare	dictateur	dittatore	dictador	ditador	dictātōrem
dictatură	dictature	dittatura	dictadura	ditadura	dictātūram
dicționar	dictionnaire	dizionario	diccionario	dicionário	dictiōnārium
diferență	différence	differenza	diferencia	diferença	differentiam
dificil	difficile	difficile	difícil	difícil	difficilem
dificultate	difficulté	difficoltà	dificultad	dificuldade	difficultātem
difuziune	diffusion	diffusione	difusión	difusão	diffūsiōnem
digestie	digestion	digestione	digestión	digestão	dīgestiōnem
digresiune	digresion	digressione	digresión	digressão	dīgressiōnem
dijmă	dîme	decima	diezmo	décima	decimam
dilatoriu	dilatoire	dilatorio	dilatorio	dilatório	dīlātōrium
dilemă	dilemme	dilemma	dilema	dilema	dilēmma
diletant	dilettante	dilettante	diletante	diletante	dēlectāre
diligent	diligent	diligente	diligente	diligente	dīligentem
dinte	dent	dente	diente	dente	dentem
diplomă	diplôme	diplóma	diploma	diploma	diplōma
direcție	direction	direzione	dirección	direção	dīrectiōnem
direcțiune	direction	direzione	dirección	direção	dīrectiōnem
director	directeur	direttore	director	diretor	dīrectōrem
discerne	discerner	discernere	discernir	discernir	discernēre
disciplină	discipline	disciplina	disciplina	disciplina	disciplīnam
discipol	disciple	discepolo	discípulo	discípulo	discipulum
discordare	discorder	discordare	discordare	discordare	discordāre
discordia	discordance	discordia	discordia	discórdia	discordiam
discret	discret	discreto	discreto	discreto	discrētum
discrimina	discriminer	discriminare	discriminar	discriminar	discrīmināre
discuta	discuter	discutere	discutir	discutir	discutere
discuție	discussion	discussione	discusión	discussão	discussiōnem
disensiune	dissension	dissenso	disensión	dissensão	dissensiōnem
disident	dissident	dissidente	disidente	dissidente	dissidentem
disimula	dissimuler	dissimulare	disimular	dissimular	dissimulāre
disociație	dissociation	dissociazione	disociación	dissociação	dissociātiōnem
disoluție	dissolution	dissoluzione	disolución	dissolução	dissolūtiōnem
disonanță	dissonance	dissonanza	disonancia	dissonância	dissonantiam
dispersie	dispersion	dispersione	dispersión	dispersão	dispersiōnem
dispozitiv	dispositif	dispositivo	dispositivo	dispositivo	dispositum
disputare	disputer	disputare	disputare	disputare	disputāre
distanță	distance	distanza	distancia	distância	distantiam
distincție	distinction	distinzione	distinción	distinção	distinctiōnem
distinge	distinguer	distinguere	distinguir	distinguir	distinguēre
distribui	distribuer	distribuire	distribuir	distribuir	distribuēre
distribuție	distribution	distribuzione	distribución	distribuição	distribūtiōnem
distributiv	distributif	distributivo	distributivo	distributivo	distribūtīvum
ditiramb	dithyrambe	ditirambo	ditirambo	ditirambo	dīthyrambum
diuretic	diurétique	diuretico	diurético	diurético	diūrēticum
diurn	diurne	diurno	diurno	diurno	diurnum
divagare	divaguer	divagare	divagar	divagar	dīvagārī
diverge	diverger	divergere	divergir	divergir	divergēre
divers	divers	diverso	diverso	diverso	dīversum
diversitate	diversité	diversità	diversidad	diversidade	dīversitātem
diverticul	diverticule	diverticolo	divertículo	divertículo	dīverticulum
divide	diviser	dividere	dividir	dividir	dīvidēre
dividend	dividende	dividendo	dividendo	dividendo	dīvidendum
divin	divin	divino	divino	divino	dīvīnum
divinitate	divinité	divinità	divinidad	divindade	dīvīnitātem
divizibil	divisible	divisibile	divisible	divisível	dīvīsibilem
diviziune	division	divisione	división	divisão	dīvīsiōnem
divizor	diviseur	divisore	divisor	divisor	dīvīsōrem
divorț	divorce	divorzio	divorcio	divórcio	dīvortium
divulgator	divulgateur	divulgatore	divulgador	divulgador	dīvulgātōrem
dizenterie	dysenterie	dissenteria	disentería	disenteria	dysenteriam
dizolva	dissoudre	dissolvere	disolver	dissolver	dissolvēre
doamnă	dame	donna	duena	dona	dominam
docil	docile	docile	dócil	dócil	docilem
docilitate	docilité	docilità	docilidad	docilidade	docilitātem
doctrină	doctrine	dottrina	doctrina	doutrina	doctrīnam
doctrinal	doctrinal	dottrinale	doctrinal	doutrinal	doctrīnālem
document	document	documento	documento	documento	documentum
duce	duc	duce	dux	duque	ducem
dogmă	dogme	dogma	dogma	dogma	dogma
dogmatic	dogmatique	dogmatico	dogmático	dogmático	dogmaticum
doi	deux	due	dos	dois	duōs
domina	dominer	dominare	dominar	dominar	dominārī
dominație	domination	dominazione	dominación	dominação	dominātionem
domn	dom	donno	don	dom	domine
dona	donner	donare	donar	doar	dōnāre
donație	donation	donazione	donación	doação	dōnātiōnem
doric	dorique	dorico	dórico	dórico	doricum
dormi	dormir	dormire	dormir	dormir	dormīre
dos	dos	dorso	dorso	dorso	dorsum
dotă	dot	dote	dote	dote	dōtem
dotal	dotal	dotale	dotal	dotal	dōtālem
drac	dragon	draco	dragon	dragăo	dracōnem
dramă	drame	dramma	drama	drama	drāma
dramatic	dramatique	dramatico	dramático	dramático	drāmaticum
dreaptă	droit	diritto	derecho	dereito	dīrectum
dromader	dromadaire	dromedario	dromedario	dromedário	dromedārium
drupă	drupe	drupa	drupa	drupa	drūpam
dual	dual	duale	dual	dual	duālem
dualitate	dualité	dualità	dualidad	dualidade	duālitātem
dupleca	dupliquer	duplicare	doblegar	duplicar	duplicāre
ducal	ducal	ducale	ducal	ducal	ducālem
ductil	ductile	duttile	dúctil	dúctil	ductilem
duel	duel	duello	duelo	duelo	duellum
dulce	doux	dolce	dolce	doce	dulcem
duminică	dimanche	domenica	domingo	domingo	dominicam
duoden	duodéno	duodeno	duodeno	duodeno	duodēnum
luni	lundi	lunedì	lunes	lũes	lūnaediēs
marți	mardi	martedì	martes	martes	martisdiēs
miercuri	mercredi	mercoledì	miércoles	mercores	mercuriīdiēs
joi	jeudi	giovedì	jueves	joves	iovisdiēs
venderdi	vendredi	venerdì	viernes	vernes	venerisdiēs
sâmbătă	samedi	sabato	sábado	sábado	sabbatī
duplicație	duplication	duplicazione	duplicación	duplicação	duplicātiōnem
durabil	durable	durabile	durable	durável	dūrābilem
durere	doloir	dolere	doler	doer	dolēre
duritate	durete	durezza	dureza	dureza	dūritiam
duroare	douleur	dolore	dolor	dór	dolōrem
duumvirat	duumvirat	duumvirato	duunvirato	duunvirato	duumvirātum
ea	le	il	él	o	illum
ebuliție	ébulition	ebollizione	ebullición	ebulição	ēbullītiōnem
ebulițiune	ébullition	ebollizione	ebullición	ebulição	ēbullītiōnem
echilater	équilatère	equilatero	equilátero	equilátero	aequilāterum
echin	équin	equino	equino	equino	equīnum
echinocțial	équinoxial	equinoziale	equinoccial	equinocial	aequinoctiālem
echinocțiu	équinoxe	equinozio	equinoccio	equinócio	aequinoctium
echitate	équité	equità	equidad	equidade	aequitātem
echitație	équitation	equitazione	equitación	equitação	equitātiōnem
echivoca	équivoque	equivoco	equívoco	equívoco	aequivocum
ecleziastic	ecclésiastique	ecclesiastico	eclesiástico	eclesiástico	ecclēsiasticum
economic	économique	economico	económico	econômico	oeconomicum
economie	économie	economia	economía	economia	oeconomiam
ecuație	équation	equazione	ecuación	equação	aequātiōnem
ecuațiune	équation	equazione	ecuación	equação	aequātiōnem
ecuator	équateur	equatore	ecuador	equador	aequāre
ecumenic	oecuménique	ecumenico	ecuménico	ecumênico	oecūmenicum
ecvestru	équestre	equestre	ecuestre	equestre	equestrem
edificiu	édifice	edificio	edificio	edifício	aedificium
ediție	édition	edizione	edición	edição	ēditiōnem
editor	éditeur	editore	editor	editor	ēditōrem
educa	educer	educare	educar	educar	ēducāre
educație	éducation	educazione	educación	educação	ēducātiōnem
educațiune	éducation	educazione	educación	educação	ēducātiōnem
educator	éducateur	educatore	educador	educador	ēducātōrem
efect	effet	effetto	efecto	efeito	effectum
efector	effecteur	effettore	efector	efetoras	effectōrem
efervescent	effervescent	effervescente	efervescente	efervescente	effervēscēntem
eficace	efficace	efficace	eficaz	eficaz	efficacem
eficient	efficient	efficiente	eficiente	eficiente	efficientem
efigie	effigie	effigie	efigie	efígie	effigiem
efluviu	effluve	effluvio	efluvio	eflúvio	effluvium
efuziune	effusion	effusione	efusión	efusão	effūsiōnem
egal	egala	uguale	igual	igual	aequālem
egidă	égide	egida	égida	égide	aegidem
eglogă	églogue	egloga	égloga	écloga	eclogam
egoism	égoïsme	egoismo	egoísmo	egoísmo	egoismum
elabora	élaborer	elaborare	elaborar	elaborar	ēlabōrāre
elastic	élastique	elastico	elástico	elástico	elasticum
electiv	électif	elettivo	electivo	eletivo	ēlectīvum
elegant	élégant	elegante	elegante	elegante	ēlegāntem
eleganță	élégance	eleganza	elegancia	elegância	ēlegantiam
elegiac	élégiaque	elegiaco	elegíaco	elegíaco	elegiacum
elegie	élégie	elegia	elegía	elegia	elegīam
element	élément	elemento	elemento	elemento	elementum
elevație	élévation	elevazione	elevación	elevação	ēlevātiōnem
elice	hélice	elice	hélice	hélice	helicem
elipsă	ellipse	ellisse	elipse	elipse	ellīpsis
elită	élite	elite	élite	elite	ēlēctum
eliziune	élision	elisione	elisión	elisão	ēlīsiōnem
elocvență	éloquence	eloquenza	elocuencia	eloquência	ēloquentiam
elocvent	éloquent	eloquente	elocuente	eloquente	ēloquentem
elogiu	éloge	elogio	elogio	elogio	ēlogium
emana	émaner	emanare	emanar	emanar	ēmānāre
emanație	émanation	emanazione	emanación	emanação	ēmānātiōnem
emanațiune	émanation	emanazione	emanación	emanação	ēmānātiōnem
emancipa	émanciper	emancipare	emancipar	emancipar	ēmancipāre
emblemă	emblème	emblema	emblema	emblema	emblēma
emersiune	émersion	emersione	emersión	emersão	ēmersiōnem
emetic	émétique	emetico	emético	emético	emeticum
emigra	émigrer	emigrare	emigrar	emigrar	ēmigrāre
emigrație	émigration	emigrazione	emigración	emigração	ēmigrātiōnem
eminent	éminent	eminente	eminente	eminente	ēminentem
eminență	éminence	eminenza	eminencia	eminência	ēminentiam
emisferă	hémisphère	emisfero	hemisferio	hemisfério	hēmisphaerium
emistih	hémistiche	emistichio	hemistiquio	hemistíquio	hēmistichium
emolient	émollient	emolliente	emoliente	emoliente	ēmolliēntem
emoție	émotion	emozione	emoción	emoção	ēmōtiōnem
emoțiune	émotion	emozione	emoción	emoção	ēmōtiōnem
empiric	empirique	empirico	empírico	empírico	empīricum
emulație	émulation	emulazione	emulación	emulação	aemulātiōnem
emulațiune	émulation	emulazione	emulación	emulação	aemulātiōnem
emulsie	émulsion	emulsione	emulsión	emulsão	ēmulsiōnem
cerneală	encre	inchiostro	encausto	encausto	encaustum
energie	énergie	energia	energía	energia	energīam
energumen	énergumène	energumeno	energúmeno	energumen	energūmenum
enigmă	énigme	enigma	enigma	enigma	aenigma
enigmatic	énigmatique	enigmatico	enigmático	enigmático	aenigmaticum
enorm	énorme	enorme	enorme	enorme	ēnormem
enormitate	énormité	enormità	enormidad	enormidade	ēnormitātem
entitate	entité	entità	entidad	entidade	entitātem
enucleare	énucléer	enucleare	enucleare	enucleare	ēnucleāre
enumera	énumérer	enumerare	enumerar	enumerar	ēnumerare
enumerație	énumération	enumerazione	enumeración	enumeração	ēnumerātiōnem
enunța	énoncer	enunziare	enunciar	enunciar	ēnuntiāre
epic	épique	epico	épico	épico	epicum
epidermă	épiderme	epidermide	epidermis	epiderme	epidermidem
epigramă	épigramme	epigramma	epigrama	epigrama	epigramma
epilepsie	épilepsie	epilessia	epilepsia	epilepsia	epilepsiam
epileptic	épileptique	epilettico	epiléptico	epiléptico	epilēpticum
epilog	épilogue	epilogo	epílogo	epílogo	epilogum
episcop	évêque	vescovo	obispo	bispo	episcopum
episcopal	épiscopal	episcopale	episcopal	episcopal	episcopālem
episcopat	épiscopat	episcopato	episcopado	episcopado	epīscopātum
epitaf	épitaphe	epitaffio	epitafio	epitáfio	epitaphium
epitalam	épithalame	epitalamio	epitalamio	epitalâmio	epithalamium
epitet	épithète	epiteto	epíteto	epíteto	epitheton
epitomă	épitome	epitome	epítome	epítome	epitomen
eradica	éradiquer	eradicare	erradicar	erradicar	ērādīcāre
erecție	érection	erezione	erección	ereção	ērectiōnem
ereditar	héréditaire	ereditario	hereditario	hereditário	hērēditārium
erizipel	érysipèle	erisipela	erisipela	erisipela	erysipelas
eroic	héroïque	eroico	heroico	heróico	hērōicum
erou	héros	eroe	héroe	herói	hērōs
eroziune	érosion	erosione	erosión	erosão	ērōsiōnem
erupție	éruption	eruzione	erupción	erupção	ēruptiōnem
esență	essence	essenza	esencia	essência	essentiam
esențial	essentiel	essenziale	esencial	essencial	essentiālem
estimat	estimer	estimare	estimar	estimar	aestimāre
estru	oestre	estro	estro	estro	oestrum
estuar	estuaire	estuario	estuario	estuário	aestuārium
etern	éterne	eterno	eterno	eterno	aeternum
eternitate	éternité	eternità	eternidad	eternidade	aeternitātem
eteroclit	hétéroclite	eteroclito	heteróclito	heteróclito	heterōclitum
etimologie	étymologie	etimologia	etimología	etimologia	etymologiam
eufonie	euphonie	eufonia	eufonía	eufonia	euphōniam
eunuc	eunuque	eunuco	eunuco	eunuco	eunūchum
euritmie	eurythmie	euritmia	euritmia	euritmia	eurhythmiam
evacua	évacuer	evacuare	evacuar	evacuar	ēvacuāre
evangheliza	évangéliser	evangelizzare	evangelizar	evangelizar	ēvangelīzāre
evapora	évaporer	evaporare	evaporar	evaporar	ēvapōrāre
evaziune	évasion	evasione	evasión	evasão	ēvāsiōnem
eversiune	éversion	eversione	eversión	eversão	ēversiōnem
evident	évident	evidente	evidente	evidente	ēvidentem
evidență	évidence	evidenza	evidencia	evidência	ēvidentiam
evita	éviter	evitare	evitar	evitar	ēvītāre
evitabil	évitable	evitabile	evitable	evitável	ēvītābilem
evoca	évoquer	evocare	evocar	evocar	ēvocāre
exacerba	exacerber	esacerbare	exacerbar	exacerbar	exacerbāre
exagera	exagérer	esagerare	exagerar	exagerar	exaggerāre
exaltație	exaltation	esaltazione	exaltación	exaltação	exaltātiōnem
exaltațiune	exaltation	esaltazione	exaltación	exaltação	exaltātiōnem
examen	essaim	esame	examen	eixame	exāmen
examinator	examinateur	esaminatore	examinador	examinador	exāminātōrem
exaspera	exaspérer	esasperare	exasperar	exasperar	exasperāre
excava	excaver	scavare	excavar	escavar	excavāre
excelent	excelent	eccellente	excelente	excelente	excellentem
excepție	exception	eccezione	excepción	exceção	exceptiōnem
exces	excès	eccesso	exceso	excesso	excessum
excita	exciter	eccitare	excitar	excitar	excitare
excitabil	excitable	eccitabile	excitable	excitável	excitābīlem
excitație	excitation	eccitazione	excitación	excitação	excitatiōnem
excitațiune	excitation	eccitazione	excitación	excitação	excitatiōnem
exclama	exclamer	esclamare	exclamar	exclamar	exclāmāre
exclamație	exclamation	esclamazione	exclamación	exclamação	exclāmātiōnem
exclamațiune	exclamation	esclamazione	exclamación	exclamação	exclāmātiōnem
exclude	exclure	escludere	excluir	excluir	exclūdēre
excluziune	exclusion	esclusione	exclusión	exclusão	exclūsiōnem
excomunica	excommunier	scomunicare	excomulgar	excomungado	excommūnicāre
excreție	excrétion	escrezione	excreción	excreção	excrētiōnem
execrabil	exécrable	esecrabile	execrable	execrável	exsēcrābilem
exedră	exedre	esedra	exedra	exedra	exedram
exemplu	exemple	esempio	ejemplo	exemplo	exemplum
exhaustiv	exhaustif	esaustivo	exhaustivo	exaustivo	exhaustīvum
exil	exil	esilio	exilio	exílio	exilium
exod	exode	esodo	éxodo	êxodo	exodum
exorcism	exorcisme	esorcismo	exorcismo	exorcismo	exorcismum
exorcist	exorciste	esorcista	exorcista	exorcista	exorcistam
exordiu	exorde	esordio	exordio	exórdio	exordium
expansiune	expansion	espansione	expansión	expansão	expansiōnem
expediție	expédition	spedizione	expedición	expedição	expedītiōnem
experiență	expérience	esperienza	experiencia	experiência	experientiam
expia	expier	espiare	expiar	expiar	expiāre
expiație	expiation	espiazione	expiación	expiação	expiātiōnem
expiațiune	expiation	espiazione	expiación	expiação	expiātiōnem
expiator	expiatoire	espiatorio	expiatorio	expiatório	expiātōrium
explica	expliquer	spiegare	explicar	explicar	explicāre
explora	explorer	esplorare	explorar	explorar	explōrāre
explozie	explosion	esplosione	explosión	explosão	explosiōnem
exporta	exporter	esportare	exportar	exportar	exportāre
expoziție	exposition	esposizione	exposición	exposição	expositiōnem
expozițiune	exposition	esposizione	exposición	exposição	expositiōnem
expres	express	espresso	expreso	expresso	expressum
expresie	expression	espressione	expresión	expressão	expressiōnem
expulsie	expulsion	espulsione	expulsión	expulsão	expulsiōnem
extensiune	extension	estensione	extensión	extensão	extensiōnem
extermina	exterminer	sterminare	exterminar	exterminar	extermināre
extern	externe	esterno	externo	externo	externum
extincție	extinction	estinzione	extinción	extinção	exstinctiōnem
extorsiune	extorsion	estorsione	extorsión	extorsão	extorsiōnem
extracție	extraction	estrazione	extracción	extração	extrāctiōnem
extrage	extraire	estrarre	extraer	extrair	extrahēre
extract	extrait	estratto	extracto	extrato	extractum
exuberanță	exubérance	esuberanza	exuberancia	exuberância	exūberantiam
fabrică	fabrique	fabbrica	fábrica	fábrica	fabricam
fabulă	fable	favola	habla	fala	fābulam
face	faire	fare	hacer	fazer	facere
facil	facile	facile	fácil	fácil	facilem
facțiune	faction	fazione	facción	facção	factiōnem
făptură	faiture	fattura	hechure	fatura	factūram
fag	fouet	faggio	haya	faia	fāgum
făină	farine	farina	harina	farinha	farīnam
părângă	planche	paranco	plancha	prancha	phalangam
falcă	faux	falce	hoz	fouce	falcem
fals	faux	falso	falso	falso	falsum
falsitate	fausseté	falsità	falsedad	falsidade	falsitātem
familiar	familier	familiare	familiar	familiar	familiārem
familiaritate	familiarité	familiarità	familiaridad	familiaridade	familiāritātem
familie	famille	famiglia	familia	família	familiam
fanatic	fanatique	fanatico	fanático	fanático	fānāticum
fantasmă	fantasme	fantasma	fantasma	fantasma	phantasma
fantastic	fantastique	fantastico	fantástico	fantástico	phantasticum
fapt	fait	fatto	hecho	feito	factum
far	phare	faro	faro	farol	pharus
fără	hors	fuori	fuera	fora	forās
farmacie	pharmacie	farmacia	farmacia	farmácia	pharmaciam
fasciculă	fascicule	fascicolo	fascículo	fascículo	fasciculum
fascinație	fascination	fascinazione	fascinación	fascinação	fascinātiōnem
fascinațiune	fascination	fascinazione	fascinación	fascinação	fascinātiōnem
făt	faon	feto	feto	feto	fētum
fatal	fatal	fatale	fatal	fatal	fātālem
fazan	faisan	fagiano	faisán	faisão	phāsiānum
febră	fièvre	febbre	fiebre	febre	febrem
febril	fébrile	febbrile	febril	febril	febrīlem
feculă	fécule	fecola	fécula	fécula	faeculam
fecunditate	fécondité	fecondità	fecundidad	fecundidade	fēcunditātem
federal	fédéral	federale	federal	federal	foederālem
federație	fédération	federazione	federación	federação	foederātiōnem
felin	félin	felino	felino	felino	fēlīnum
fenomen	phénomène	fenomeno	fenómeno	fenómeno	phaenomenon
fier	fer	ferro	hierro	ferro	ferrum
fermenta	fermenter	fermentare	fermentar	fermentar	fermentāre
feroce	feroce	feroce	feroz	feroz	ferōcem
ferocitate	férocité	ferocità	ferocidad	ferocidade	ferōcitātem
fertil	fertile	fertile	fértil	fértil	fertilem
feci	fèces	feci	hez	fez	faecem
festin	fête	festa	fiesta	festa	fēstam
festival	festival	festival	festival	festival	fēstīvālem
față	face	faccia	faz	face	faciam
fetid	fétide	fetido	fétido	fétido	foetidum
fetiș	fétiche	feticcio	hechizo	feitiço	factīcium
fibră	fibre	fibra	hebra	febra	fibram
ficat	foie	fegato	hígado	fígado	fīcātum
fiduciar	fiduciaire	fiduciario	fiduciario	fiduciário	fīdūciārium
fie	fille	figlia	hija	filha	fīliam
fiere	fiel	fiele	hiel	fel	fel
figurație	figuration	figurazione	figuración	figuração	figūrātiōnem
fiu	fils	figlio	hijo	filho	fīlium
filiație	filiation	filiazione	filiación	filiação	fīliātiōnem
filiațiune	filiation	filiazione	filiación	filiação	fīliātiōnem
filosoafă	philosophe	filosofo	filósofo	filósofo	philosophum
filozofa	philosopher	filosofare	filosofar	filosofar	philosophārī
filozofic	philosophique	filosofico	filosófico	filosófico	philosophicum
final	final	finale	final	final	fīnālem
fine	finir	finire	finir	fenecer	fīnīre
fir	fil	filo	hilo	fio	fīlum
firmament	firmament	firmamento	firmamento	firmamento	firmāmentum
fiscal	fiscal	fiscale	fiscal	fiscal	fiscālem
fistic	pistache	pistacchio	pistacho	pistache	pistācium
fistulă	fistule	fistola	fístula	fístula	fistulam
fistulos	fistuleux	fistoloso	fistuloso	fistuloso	fistulōsum
fizică	physique	fisica	física	física	physicam
flacără	flamme	fiaccola	hacha	facha	faculam
flagela	flageller	flagellare	flagelar	flagelar	flagellāre
flagrant	flagrant	flagrante	flagrante	flagrante	flagrantem
flexibil	flexible	flessibile	flexible	flexível	flexibilem
floc	floc	fiocco	flueco	floco	floccum
floare	fleur	fiore	flor	flor	flōrem
fluctua	fluctuer	fluttuare	fluctuar	flutuar	fluctuāre
fluctuație	fluctuation	fluttuazione	fluctuación	flutuação	fluctuātiōnem
fluctuațiune	fluctuation	fluttuazione	fluctuación	flutuação	fluctuātiōnem
fluid	fluide	fluido	fluido	fluido	fluidum
fluor	fluor	fluoro	flúor	flúor	fluōrem
flux	flux	flusso	flujo	fluxo	fluxum
foaie	feuille	foglia	hoja	folha	foliam
foale	fou	folle	fuelle	fole	follem
foame	faim	fame	hambre	fome	famem
foc	feu	fuoco	fuego	fogo	focum
foramen	foramen	forame	foramen	forame	forāmen
formal	formel	formale	formal	formal	fōrmālem
forma	former	formare	formar	formar	fōrmāre
formație	formation	formazione	formación	formação	fōrmātiōnem
formidabil	formidable	formidabile	formidable	formidável	formīdābilem
formulă	formule	formula	fórmula	fórmula	fōrmulam
fornicație	fornication	fornicazione	fornicación	fornicação	fornicātiōnem
fortificație	fortification	fortificazione	fortificación	fortificação	fortificātiōnem
fortuit	fortuit	fortuito	fortuito	fortuito	fōrtuītum
fosfor	phosphore	fosforo	fósforo	fósforo	phōsphorum
fosil	fossile	fossile	fósil	fóssil	fossilem
fracție	fraction	frazione	fracción	fração	fractiōnem
fractură	fracture	frattura	fractura	fraturar	fractūram
fragă	fraise	fragola	fragaria	fragaria	frāgum
fragil	fragile	fragile	frágil	frágil	fragilem
fragilitate	fragilité	fragilità	fragilidad	fragilidade	fragilitātem
fragment	fragment	frammento	fragmento	fragmento	fragmentum
frânghie	frange	frangia	fimbria	franja	fimbriam
frăsinet	frênaie	frassineto	fresneda	freixo	fraxinētum
frate	frere	frate	fray	fraire	frātrem
fratricid	fratricide	fratricidio	fratricidio	fratricidio	frātricīdium
fraudă	fraude	frode	fraude	fraude	fraudem
frază	phrase	frase	frase	frase	phrasem
freca	frayer	fregare	fregar	fregar	fricāre
frecvență	fréquence	frequenza	frecuencia	freqüência	frequentiam
friabil	friable	friabile	friable	friável	friābilem
frige	frire	friggere	freír	frigir	frīgēre
frână	frein	freno	freno	freio	frēnum
frivol	frivole	frivolo	frívolo	frívolo	frīvolum
frontispiciu	frontispice	frontespizio	frontispicio	frontispício	frontispicium
fructificație	fructification	fruttificazione	fructificación	frutificação	fructificātiōnem
frugal	frugal	frugale	frugal	frugal	frūgālem
frugalitate	frugalité	frugalità	frugalidad	frugalidade	frūgālitātem
frunte	front	fronte	frente	fronte	frontem
frupt	fruit	frutto	frucho	fruto	fructum
fugi	fuir	fuggire	huir	fugir	fūgēre
fugă	fugue	fuga	fuga	fuga	fugam
fugitiv	fugitif	fuggitivo	fugitivo	fugitivo	fugitīvum
fum	fumée	fumo	humo	fumo	fūmum
fuma	fumer	fumare	fumar	fumar	fūmāre
fumigație	fumigation	fumigazione	fumigación	fumigação	fūmigātiōnem
fumigațiune	fumigation	fumigazione	fumigación	fumigação	fūmigātiōnem
